,name,rank,price,market_cap,amount,operacion,variacion,market_value,cluster,roi,roi_acumulado
0,SOL,11,32.98458750848429,8992833088.010105,30.440353384493143,compra,0,1004.0625,2,0,0
1,LINK,12,18.37158918495772,8028559994.473274,53.734464126178516,compra,0,987.1874999999998,2,0,0
2,MATIC,13,1.1016097116822,6943911250.054392,880.8133131999134,compra,0,970.3124999999999,2,0,0
3,WBTC,14,33806.66176436789,6621897606.176811,0.028202651496484633,compra,0,953.4374999999999,2,0,0
4,ICP,15,46.27621702113683,6335177716.262756,20.23852769927632,compra,0,936.5625000000001,2,0,0
5,ETC,16,53.68263300558433,6244004143.885798,17.131937248762178,compra,0,919.6875000000001,2,0,0
6,THETA,17,5.94546795483557,5945467954.835569,151.84885476772678,compra,0,902.8125,2,0,0
7,XLM,18,0.25445642709555,5910264137.062653,3481.6864722671157,compra,0,885.9375,2,0,0
8,VET,19,0.08340830703203,5364453392.440676,10419.375850252749,compra,0,869.0625,2,0,0
9,FIL,20,56.09680121066627,4789647320.125697,15.191374224702935,compra,0,852.1875,2,0,0
10,TRX,21,0.06457423107425,4627367273.679029,12935.69410125108,compra,0,835.3125,2,0,0
11,AAVE,22,307.8290792043844,3950268561.433644,2.658740045337286,compra,0,818.4375,2,0,0
12,XMR,23,214.46499256596329,3848898451.3979654,3.7374980895936307,compra,0,801.5625,2,0,0
13,EOS,24,3.81926633705813,3647131265.844364,205.4550352737175,compra,0,784.6875,2,0,0
14,SHIB,25,8.32785016e-06,3287801931.76736,92198164.62211658,compra,0,767.8125,2,0,0
15,CRO,26,0.11581378985941,2925805358.9406857,6484.007654974305,compra,0,750.9375,2,0,0
16,ATOM,27,13.5484751372105,2949102282.7989545,54.180451494789864,compra,0,734.0625,2,0,0
17,MKR,28,2750.0730526221346,2726256188.7031493,0.26078852680519793,compra,0,717.1875,2,0,0
18,ALGO,29,0.87426728480118,2720231760.473467,801.0279146602865,compra,0,700.3125,2,0,0
19,CAKE,30,14.05762350859748,2688858301.550623,48.61685900052861,compra,0,683.4375,2,0,0
20,BSV,31,141.613518296843,2659368458.7032957,4.706912927640042,compra,0,666.5625,2,0,0
21,COMP,32,492.95671497166546,2629355061.930789,1.3179402577716042,compra,0,649.6875,2,0,0
22,KLAY,33,1.02380813266535,2542121215.548044,618.0967700974944,compra,0,632.8125,2,0,0
23,NEO,34,35.97584231871986,2537693861.4028287,17.120863899258858,compra,0,615.9375,2,0,0
24,LUNA,35,6.03794318326678,2526636040.3705993,99.21631950101957,compra,0,599.0625,2,0,0
25,BTCB,36,33872.73033849246,2475976067.1777625,0.017187498444387606,compra,0,582.1875,2,0,0
26,LEO,37,2.56185943577409,2443896389.2361627,220.66491709338672,compra,0,565.3125,2,0,0
27,XTZ,38,2.82853996231888,2408321508.307942,193.8942024175549,compra,0,548.4375,2,0,0
28,FTT,39,25.36885433909919,2393474222.757167,20.953350628086543,compra,0,531.5625,2,0,0
29,AMP,40,0.05468091669134,2309049465.299382,9412.561660318925,compra,0,514.6875,2,0,0
30,MIOTA,41,0.82002159299509,2279274850.4437532,607.0724286439378,compra,0,497.8125,2,0,0
31,GRT,42,0.73541228672293,2131153782.275224,653.9699005344404,compra,0,480.9374999999999,2,0,0
32,AVAX,43,12.02681047677884,2073640581.187598,38.585666656675436,compra,0,464.06250000000006,2,0,0
33,TFUEL,44,0.35296037724603,1871118634.4860866,1266.9623244659251,compra,0,447.1875,2,0,0
34,DCR,45,137.96663085835644,1805951248.3541498,3.118960703199172,compra,0,430.3125,2,0,0
35,EGLD,46,97.50612155396702,1742185495.85668,4.24011839883482,compra,0,413.4375,2,0,0
36,BTT,47,0.00264240304212,1743860823.9550796,150076.46209861987,compra,0,396.5625,2,0,0
37,WAVES,48,15.97168060090834,1685873176.9802186,23.77254526229422,compra,0,379.6875,2,0,0
38,KSM,49,198.6087568676502,1682235645.6999166,1.82676990542654,compra,0,362.8125,2,0,0
39,HBAR,50,0.18494365685425,1655295692.669042,1870.5021079615924,compra,0,345.9375,2,0,0
