,name,rank,price,market_cap,amount,operacion,variacion,market_value,cluster,roi,roi_acumulado
0,MATIC,11,1.7143601435752107,12790961535.766376,659.9170104623998,compra,31.671617284592003,1131.3354208040437,2,0.1659495480106088,2.8994236790719263
1,SHIB,12,2.251497738513783e-05,12362147306.909563,49403619.69239669,compra,3342248.3857891187,1112.3213801182615,2,0.44868881415483797,5.556173884592159
2,CRO,13,0.44857917323190843,11332461795.303743,2437.26727559698,venta,-250.89137679570555,1093.3073394324792,2,0.45592321522427537,3.9465326522004105
3,WBTC,14,41467.53353828403,10863022746.088015,0.02590685307470429,venta,-0.0041102922986944014,1074.2932987466968,2,0.12675796656487393,3.015653845981827
4,ATOM,15,30.79896650107017,8819909184.204515,34.263463289401194,compra,3.5707050460894436,1055.2792580609148,2,0.43758775044483933,3.982275233778795
5,LTC,16,121.91673743329108,8482327380.5246725,8.499778120638634,venta,-0.595958415623313,1036.2652173751326,2,-0.30217830479789054,0.041677682365986346
6,LINK,17,17.80269376490124,8314027995.399076,57.14029517796367,compra,4.792294500334158,1017.2511766893502,2,0.03045386685847462,3.7735077813876465
7,NEAR,18,12.860252048039028,8127122921.276311,78.95094465596468,,0.0,1015.3290477064857,2,6.231688373977818,31.546201296995207
8,UNI,19,11.265752480796943,7109895336.038851,86.92034526649881,compra,12.227221395668764,979.2230953177858,2,-0.5164330393492416,-0.6384723278027638
9,TRX,20,0.06475932074263605,6592435972.636382,14827.349076869239,venta,-862.1252832142462,960.2090546320036,2,0.14952075376820484,2.64227894111173
10,ALGO,21,1.0029525462226763,6581931766.457208,938.4242729039909,compra,129.77564584792287,941.1950139462213,2,0.34396432156533163,4.971787601801629
11,FTT,22,46.21980430758011,6385160621.780546,19.952074377545557,venta,-6.26841915013519,922.1809732604389,2,0.734849567568139,7.533621124724083
12,BCH,23,320.878536773587,6088702323.13249,2.814669194318642,venta,-0.09164889400461622,903.1669325746568,2,-0.4853749671939277,-1.4382799739205572
13,MANA,24,3.022903487363585,5538398411.779608,292.4846577420788,venta,-57.9817404491594,884.1528918888746,2,5.297385269863779,26.605135365874606
14,FTM,25,2.0922303423363577,5324739345.806968,413.50076695523234,compra,26.769330641264787,865.1388512030923,2,5.495036420443634,35.8414678728733
15,XLM,26,0.2133931688370444,5307018253.330954,3965.0979229023255,venta,-168.79578514630825,846.12481051731,2,-0.04493848548310686,2.454725645144175
16,HBAR,27,0.25882472807267526,4682862078.476306,3195.640447458651,venta,-198.7633434975525,827.1107698315277,2,1.3909254412474152,10.477885655638726
17,LEO,28,4.812545977755643,4590948111.294884,167.91459923310816,venta,-21.237801310250354,808.0967291457454,2,0.4294690620599144,0.8641729991483593
18,ICP,29,22.330567597243924,4471022134.659308,34.920501175189564,,0.0,779.7946120222065,2,-0.16738646697662318,1.96110977543794
19,BTCB,30,41518.93100032747,4365670746.337901,0.018547410282988917,venta,-0.0017506153715435094,770.0686477741812,2,0.3227158737935478,4.309930753524759
20,SAND,31,4.350383587617572,4024341415.1292057,172.64100784724218,venta,-8.24658293566244,751.0546070883988,2,5.519571242086795,22.33325360071394
21,ETC,32,29.436606777042794,3907941104.8825703,25.358474306580412,,0.0,746.4674366285506,2,-0.18834665402264306,1.1596391228424936
22,VET,33,0.059128266664279595,3802868586.8725967,12058.97899502584,venta,-286.53623490767114,713.0265257168343,2,-0.17954516997703351,2.414738012704463
23,AXS,34,56.892430831124614,3465175730.8467226,12.198678715119566,compra,0.31455744197633706,694.012485031052,2,6.166589064756836,69.59143365851006
24,FIL,35,22.016569300980493,3465658930.814653,30.658656901427833,compra,2.655878095478016,674.9984443452697,2,-0.20792261756330654,2.2202353795530483
25,XTZ,36,3.9370251232756517,3452044467.730014,169.19713947764936,,0.0,666.1333889098801,2,0.2146021906049096,4.388229198459862
26,EGLD,37,160.51657114259734,3321484755.5908656,3.899090889050144,,0.0,625.8687000836705,2,0.513816961653625,7.563386308123269
27,HNT,38,30.106422417797624,3312771782.583021,20.35391789459117,,0.0,612.7836499917319,2,3.3645559116220216,17.19673878292261
