,name,rank,price,market_cap,amount,operacion,variacion,market_value,cluster,roi,roi_acumulado
0,BTC,1,61125.67426890355,1153128571127.6274,0.12337921027589792,compra,0.0063956861572728035,7541.637418879094,1,0.9263441682960651,2.3016837848413227
1,ETH,2,4486.243405210834,530378899238.4388,1.5833504981898123,,0.0,7103.295730641334,1,0.9487779782280747,2.3132194542896802
2,BNB,3,608.6480484372684,101523193207.29597,10.681725809672585,venta,-1.0532793996173233,6501.411567999219,1,0.9263441682960649,2.1624645172716943
3,SOL,4,236.47433436933983,71196323358.42064,25.29364828750223,compra,1.2355125056058647,5981.298642559282,1,4.95709793220968,11.32913618114214
4,ADA,5,1.986205986697513,66110796820.602974,2749.556568500591,compra,609.2609953446085,5461.185717119344,1,0.7588359797485811,2.2834596075336546
5,XRP,6,1.1615327048088728,54686911054.62305,4253.9248109182145,compra,233.73032261132857,4941.072791679407,1,0.7428828189345349,2.1194666246463414
6,DOT,7,51.894674407653184,51250107001.43111,85.19101269450275,venta,-15.84280723160944,4420.959866239469,1,0.9263441682960649,1.9439500463457882
7,DOGE,8,0.2614653443562379,34512857268.208984,14919.173898184976,compra,901.3561396738114,3900.8469407995312,1,0.5207980276021564,1.5533931690749798
8,SHIB,9,6.245205808178763e-05,34292144666.62841,54133268.2892878,venta,-11151046.931739813,3380.734015359594,1,3.4030723846767206,3.4450367004103963
9,LUNA,10,49.97331994846212,19947478574.862965,57.24296670443023,venta,-3.1811660323678947,2860.6210899196562,1,3.775163008733907,9.745227918559479
