,name,rank,price,market_cap,amount,operacion,variacion,market_value,cluster,roi,roi_acumulado
0,BTC,1,51753.41192620951,973354882472.7817,0.12986852742438892,compra,0.02265104532174894,6721.139396044637,1,0.7167661292578895,0.8360332326150242
1,ETH,2,3952.1334968467886,463997267858.1807,1.5833504981898123,compra,0.1403883704716964,6257.6125411450075,1,0.7167661292578893,0.8360332326150237
2,ADA,3,2.91082444232693,93187277515.33496,1990.5307932667865,venta,-516.65547220923,5794.085686245376,1,0.8660501404977055,0.9853172438548401
3,BNB,4,504.61986122764915,84845287773.54825,10.56351372769486,venta,-0.5980133073008707,5330.5588313457465,1,0.5794248389172583,0.6968139650453959
4,XRP,5,1.30549750529673,60760906594.851845,3728.1051527860836,venta,-604.7672014655681,4867.0319764461165,1,0.7167661292578893,0.8372774217815733
5,SOL,6,142.07087706200767,41399255561.45549,30.440353384493143,,0.0,4324.6877034123945,1,3.3071897450730354,3.439692528640098
6,DOGE,7,0.31452744654662,41252120931.82474,12526.6596282969,venta,-1758.3520451888696,3939.9782666468564,1,0.53605390512548,0.6553210084826144
7,DOT,8,34.40878919840521,33981408465.063763,101.03381992611219,venta,-33.22647667193048,3476.451411747226,1,0.5147936434628435,0.6340607468199784
8,UNI,9,29.36446332983312,17960589699.360737,102.60444820684275,compra,13.512388261605324,3012.924556847596,1,0.48786397869017084,0.6071310820473053
9,LTC,10,231.33398786351646,15442148516.160637,11.020419980189299,compra,3.267357584821754,2549.3977019479657,1,0.7167661292578893,0.4656335170247802
