Fecha,Cluster,market_value,costo_operacion,transacciones,roi,ganancia,transacciones acumuladas,costo acumulado
2021-07-05,2,27000.0,27.0,40,0.0,0.0,40,27.0
2021-08-05,2,30393.63,22.56,30,12.57,3393.63,70,49.56
2021-09-05,2,46505.49,37.36,32,72.24,19505.49,102,86.92
2021-10-05,2,43512.35,41.12,38,61.16,16512.35,140,128.04
2021-11-05,2,48842.16,43.45,35,80.9,21842.16,175,171.49
2021-12-05,2,37875.59,30.07,31,40.28,10875.59,206,201.56
2022-01-05,2,37723.41,34.8,36,39.72,10723.41,242,236.36
2022-02-05,2,30438.7,25.17,32,12.74,3438.7,274,261.53
2022-03-05,2,27085.94,23.4,35,0.32,85.94,309,284.93
2022-04-05,2,31379.81,21.97,29,16.22,4379.81,338,306.9
2022-05-05,2,22190.06,20.86,38,-17.81,-4809.94,376,327.76
2022-06-05,2,15231.5,14.55,38,-43.59,-11768.5,414,342.3
