,name,rank,price,market_cap,amount,operacion,variacion,market_value,cluster,roi,roi_acumulado,fecha,rank_roi
0,BETA,254,1.7881178525349093,286098856.40558547,87.51785483471913,compra,87.51785483471913,156.4922386455199,3,0.0,0.0,2021-11-05,50
1,BETA,280,0.8420157694725396,215415700.74271947,143.9843637465573,compra,56.466508911838176,121.2371048320715,3,-0.22528359309439594,0.0,2021-12-05,50
2,BETA,340,0.573544577653068,146731820.9250617,143.9843637465573,,0.0,82.58145109366492,3,-0.47229682565456044,-0.47229682565456044,2022-01-05,50
3,BETA,338,0.4622134437861748,118249605.88122524,141.01206775733706,venta,-2.97229598922024,65.17767345352819,3,-0.5835085879168354,-1.0558054135713957,2022-02-05,50
4,BETA,246,0.4786937379642871,172329745.66714334,166.21801876949385,compra,25.20595101215679,79.56752472178705,3,-0.4915560962609763,-1.5473615098323719,2022-03-05,50
5,BETA,262,0.5234575367011587,201531151.62994608,174.8210436519754,compra,8.603024882481549,91.51139287358878,3,-0.4152336648408692,-1.962595174673241,2022-04-05,50
6,BETA,321,0.2578501444940609,103569808.12439784,198.0693474614193,compra,23.24830380944391,51.072209862771324,3,-0.6736438157903915,-2.6362389904636325,2022-05-05,50
7,BETA,355,0.1259034930719731,57139201.89719596,250.51690654688952,compra,52.4475590854702,31.540953607838436,3,-0.7984503648178759,-3.4346893552815083,2022-06-05,50
