,name,rank,price,market_cap,amount,operacion,variacion,market_value,cluster,roi,roi_acumulado,fecha,rank_roi
0,MKR,28,2750.0730526221346,2726256188.7031493,0.26078852680519793,compra,0.0,717.1875,2,0.0,0.0,2021-07-05,32
1,MKR,30,3278.273018113088,3249845086.652552,0.23484721240550432,venta,-0.025941314399693598,769.8932798080381,2,0.07348954047308132,0.07348954047308132,2021-08-05,32
2,MKR,41,3720.9813170270477,3688714388.292948,0.23484721240550432,,0.0,873.8620897167643,2,0.21845694426738382,0.29194648474046514,2021-09-05,32
3,MKR,50,2544.3360402855924,2522272529.96593,0.21912988610603085,venta,-0.015717326299473484,557.5400667232514,2,-0.22260208561463868,0.06934439912582646,2021-10-05,32
4,MKR,54,2952.9297903440115,2927323111.0882397,0.08611782394235132,venta,-0.13301206216367953,254.29988779896996,3,-0.6454206357487129,-0.5760762366228864,2021-11-05,32
5,MKR,51,2579.47989346772,2551066379.9746428,0.08331924693290813,venta,-0.0027985770094431962,214.9203222023085,3,-0.7003289625065852,-1.2764051991294716,2021-12-05,32
6,MKR,56,2252.203166195686,2221056645.033353,0.08331924693290813,,0.0,187.6518717473359,3,-0.7383503313326907,-2.0147555304621623,2022-01-05,32
7,MKR,46,2257.1238341446046,2206634314.5013585,0.20638832028381318,compra,0.12306907335090506,465.84399680166507,2,-0.3504571722155433,-2.3652127026777054,2022-02-05,32
8,MKR,46,1841.1636642787093,1799978742.305095,0.22519605393280784,compra,0.018807733648994657,414.6227918400343,2,-0.4218767172600829,-2.7870894199377885,2022-03-05,32
9,MKR,50,2302.0017043641046,2250508313.3001957,0.17460165970438912,venta,-0.050594394228418715,401.9333182243052,2,-0.4395701009508599,-3.2266595208886484,2022-04-05,32
10,MKR,57,1378.0296796139303,1347204584.6300693,0.08502404531178212,venta,-0.089577614392607,117.16565792047541,3,-0.8366317623766791,-4.063291283265327,2022-05-05,32
11,MKR,43,1179.9673100978905,1153572664.939153,0.2217118008638948,compra,0.13668775555211268,261.6126772823291,2,-0.6352241536804126,-4.69851543694574,2022-06-05,32
