,name,rank,price,market_cap,amount,operacion,variacion,market_value,cluster,roi,roi_acumulado,fecha,rank_roi
0,MONA,279,1.36686141305747,89843356.27421278,57.94296279301727,compra,0.0,79.2,3,0.0,0.0,2021-07-05,34
1,MONA,327,1.34853483304337,88638756.12838553,52.320695120223476,venta,-5.622267672793795,70.55627985866363,3,-0.10913788057242901,-0.10913788057242901,2021-08-05,34
2,MONA,368,1.65508112207077,108787944.03911963,55.6645998154163,compra,3.343904695192826,92.1294283221196,3,0.16325035760252016,0.054112477030091144,2021-09-05,34
3,MONA,372,1.4559767836228208,95700880.60749693,55.6645998154163,,0.0,81.04636500090129,3,0.023312689405319276,0.07742516643541042,2021-10-05,34
4,MONA,429,1.5425107981659496,101388733.24871372,46.49925917178578,venta,-9.165340643630525,71.72560937919664,3,-0.09437361894953744,-0.01694845251412702,2021-11-05,34
5,MONA,423,1.5227398069166123,100089192.42201406,39.808870918520164,venta,-6.690388253265617,60.61855241603573,3,-0.23461423717126606,-0.2515626896853931,2021-12-05,34
6,MONA,476,1.1446964073565749,75240522.68174174,25.616437587671694,venta,-14.19243333084847,29.323044075881715,3,-0.629759544496443,-0.8813222341818361,2022-01-05,34
7,MONA,449,1.0860197364536854,71383724.1807723,28.242439157900264,compra,2.6260015702285706,30.67184633107209,3,-0.6127292129915141,-1.4940514471733501,2022-02-05,34
8,MONA,434,0.9879778363386803,64939461.96246149,36.9122135026495,compra,8.669774344749236,36.46844883081907,3,-0.5395397874896581,-2.0335912346630085,2022-03-05,34
9,MONA,494,0.9610729558927492,63171012.91830279,25.96853074354221,venta,-10.943682759107292,24.957652601887844,3,-0.6848781237135373,-2.718469358376546,2022-04-05,34
10,MONA,467,0.7976754901274227,52430950.61877508,30.130023310673796,compra,4.161492567131585,24.03398111189239,3,-0.6965406425266112,-3.415010000903157,2022-05-05,34
11,MONA,441,0.5995302148682801,39406926.098733544,28.05837221711394,venta,-2.071651093559853,16.8218419241805,3,-0.787603006007822,-4.202613006910979,2022-06-05,34
