Fecha,Cluster,market_value,costo_operacion,transacciones,roi,ganancia,transacciones acumuladas,costo acumulado
2021-07-05,3,36000.0,36.0,450,0.0,0.0,450,36.0
2021-08-05,3,41495.76,38.02,459,15.27,5495.76,909,74.02
2021-09-05,3,61432.88,54.46,441,70.65,25432.88,1350,128.48
2021-10-05,3,53272.74,49.32,448,47.98,17272.74,1798,177.8
2021-11-05,3,65188.91,60.85,469,81.08,29188.91,2267,238.65
2021-12-05,3,55099.75,51.4,464,53.05,19099.75,2731,290.06
2022-01-05,3,48889.74,42.53,436,35.8,12889.74,3167,332.59
2022-02-05,3,38356.43,34.37,439,6.55,2356.43,3606,366.96
2022-03-05,3,33159.98,28.94,417,-7.89,-2840.02,4023,395.9
2022-04-05,3,41588.13,35.58,422,15.52,5588.13,4445,431.48
2022-05-05,3,30043.12,27.52,436,-16.55,-5956.88,4881,459.0
2022-06-05,3,21032.72,19.49,441,-41.58,-14967.28,5322,478.49
