,symbol,price,amount
0,FLETA,0.02233557881077479,676.291555109397
1,GAFI,34.74656832399871,0.36431460014045614
2,TROY,0.005287046210635087,3342.601239251397
3,BOND,0.0,2.1577864843972847
4,CYCLUB,0.03451827588546399,536.2669039174222
5,vBTC,0.0,0.10056357009423862
6,FWT,0.0,2543.3580880063932
7,ZNN,6.449421613716531,3.4269791346221927
8,OOKI,0.012745848308303205,1183.0841915470703
9,WNXM,26.754532827832673,0.6403152592551835
10,DODO,0.41272597056087823,42.99048697796309
11,XMON,23146.642369500518,0.0005647342067744902
12,MRPH,0.0,21.977416445173496
13,POLIS,1.675635139299657,8.096361722606996
14,CTXC,0.23724668841195035,72.78818879887886
15,SHFT,0.2808042244731258,63.56588298192318
16,XFT,5.944203772896994,1.8381772999670634
17,HIGH,0.0,5.678135238940233
18,ATRI,0.023458975612141206,544.3048132873707
19,STRONG,174.18403464404656,0.0641488076941701
20,LOKA,1.7310916967102057,9.221868055303007
21,PNK,0.07796994450768736,232.14617626205614
