,symbol,price,amount
0,LQTY,2.917926998315002,6.668940140274826
1,C20,0.25874966145706774,21.596778749524184
2,SLIM,0.6666911415674613,23.71890125617289
3,DFA,1.0822471503171325,28.478563179386317
4,TIME,0.0,0.38023736509955885
5,WHALE,6.387002821027802,2.9829061593007014
6,HARD,0.5247810157005658,42.98825539056775
7,CLT,0.0,0.8938381609579895
8,RISE,0.0,35932.17434522801
9,vBNB,0.0,11.567090242091025
10,vETH,0.0,1.0465838928828821
11,OMI,0.0,22422.698819005906
12,BLCT,0.8043442394969322,19.990419376388797
13,SWP,1.717429034561644,14.59567675008133
14,NYE,6.91907974645703,2.7215465697521313
15,HDAO,0.0,1515.155037457026
16,TPT,0.0,1344.980483295242
17,ALEPH,0.3058854363156371,87.57076073058579
18,XNC,0.0,28.595404371826156
19,CORE,0.0,0.005644461302432231
20,GTN,0.0,105.72733182957161
21,BSCPAD,0.7017459506658298,30.32554762813573
22,BOR,362.1649855676362,0.08170981978811055
23,POSI,1.1052410811549043,11.67232828997638
24,BIOT,0.033849474457181256,673.2975647117006
25,PSG,14.494982325834483,1.1523295435645196
26,ZLW,0.8173537101182098,37.04507803759737
27,VEGA,4.673727966862179,7.688850877832746
28,TORN,47.46620959206398,0.5007254423548098
29,BMX,0.3027888163211035,65.84715826335093
30,XWG,0.02880860114467032,731.1692284382077
31,DMCH,0.25250520993958653,100.43433458742176
